,,,,,,,,,altitude,,habitat,habit (perennial herbs = 1),"rhizome character (stout, terete = 1; stout, terete, thick/woody = 2; stout, terete, bulged below tip = 3)",rhizome shape (tuberous = 1; fusiform = 2; tuberous-fusiform = 3,rhizome length (cm),rhizome branching,stem number,stem length (average cm),stem texture (glabrous = 1),internode distance (base mm),internode distance (central mm),internode distance (tip mm),leaf basal diatance (cm),petiole length(mm),leaf angle (degree) (<30 = 1; 30--35 = 2; >35 = 3),basal (min -max),central (min - max),tip (min - max),total leaf count,base,central ,tip,total,base,central,tip,base,central,tip,base,central,tip,Leaf curvature (straight = 1; slightly falcate = 2; straight to falcate = 3),leaf margin taper (lanceolate = 1; elliptic = 2; oblanceolate = 3; parallel = 4; lanceolate-elliptic = 5; lanceolate-parallel  = 6; oblanceolate-parallel = 7; elliptic-oblong = 8),"margin colour (dark green = 1; dark green, coloured at tip = 2)",margin width upto  from base(narrower = 1;equal = 2; broader = 3; broader to narrower = 4),base,centre,tip,margin (entire = 1; slightly revolute = 2),leaf base (cuneate = 1; rounded = 2; cuneate to rounded = 3),leaf base symmetry (yes = 1),leaf apex symmetry (yes = 1),leaf apex shape (acute = 1; obtuse = 2; acute to obtuse = 3),Leaf arrangement (alternate = 1; alternate to nearly opposite = 2; alternate to opposite and/or whorled = 3),leaf texture (medium = 1),leaf edges (flat = 1; incurving = 2),abaxial surface texture (glabrous = 1; light glabrous = 2; dark glabrous = 3),adaxial surface texture (glabrous = 1; light glabrous = 2; dark glabrous = 3),mid rib colour with leaf (same = 1; different = 2),leaf mid rib appearance (abaxial)  (level = 1; elevated = 2),leaf mid rib appearance (adaxial)  (level = 1; sunken = 2),number of lateral veins (pairs)  (4--6 pairs = 1),"flower number (<20 = 1, 20-30 = 2, >30 = 3)",bract number (6 no. = 1; 6--8 no. = 2; 8 no. = 3),bract margin (entire = 1),length in mm (min - max),width in mm (min - max),ratio (length/width average),colour (red = 1; purplish red = 2; pinkish red = 3; yellow = 4),cylindric diameter (mm),length (cm),texture (glabrous = 1),number  5,shape (ovate = 1; oblong = 2; ovate-oblong = 3; ),colour (white = 1; purplish white = 2; pinkish white = 3; yellowish white = 4; yellow = 5),length (mm),breadth (mm),Length and Width ratio,apex (round =1),veins (reticulate veins = 1; purplish red reticulate veins = 2),period (months),period
,,,,,,,,,,,,,Rhizome,,,,Stem,,,"Internode distance (1 is the minimjm distance, keeping 1 mm constant for all; 1--(?5) mm = 1; 1--(6--10) = 2; >1--above = 3)",,,leaf,,,leaf count average,,,,avg leaf density per 2 cm distance,,,,avg leaf length (mm),,,avg leaf width (mm),,,avg Ratio (length/width average),,,,shape,,,margin width upto midrib (mm) in same leaf,,,,,,,,,,,glabrous ???,slightly dark glabrous ??,,elevated/level/sunken,,Lateral veins,Inflorescence,leaflike bract,,,,,Calyx tube,,,,Calyx lobe ,,,,,,,,Flowering,Flowering
Province /district,source,barcode,Collector/No.,Year of collection,collection date,location ,lat,long,alt,habitat,habitat,habit,rz_chr,rh_shape,rh_L,rh_branch,stm_no,stm_avgL,stm_texture,id_base,id_cent,id_tip,lfdst_bas,lfpet_L,lf_angle,lfcnt_base,lfcnt_cent,lfcnt_tip,lfcnt_tot,lfdens_base,lfdens_cent,lfdens_tip,lfdens_tot,lfL_base,lfL_cent,lfL_tip,lfW_base,lfW_cent,lfW_tip,lfLWR_base,lfLWR_cent,lfLWR_tip,lf_curv,lf_shape,lfcol_marg,lfmargW_base,lfmargW_midbase,lfmargW_midcent,lfmargW_midtip,lf_margin,lf_base,lfbase_symm,lfapex_symm,lfapex_shape,lf_arrangement,lf_text,lf_edge,lfsurf_abaxial,lfsurf_adaxial,lfmidrib_col,lfmidrib_abaxial,lfmidrib_adaxial,lfveins_no,fl_no,flbract_no,flbract_marg,flbract_L,flbract_W,flbract_Lwratio,caltube_col,caltube_diam,caltube_L,caltube_text,callobe_no,callobe_shape,callobe_col,callobe_L,callobe_W,callobe_Lwratio,callobe_apex,callobe_veins,Flowering,Flowering
Beijing,CVH,PE 01059448,??? 1389,1953,7/30/1953,"Donglingshan, Mentougou District, Beijing, China
",,,NA,Peak,Peak,1,1,2,27,yes,15,26,1,3,3,1,3,1,1,16,20,26,62,3.69,4.62,6.00,14.31,12,15,15,3,4,3.2,4,3.75,4.69,1,3,1,3,1.5,2,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,10,2.5,4.00,1,0.8,0.8,1,5,3,3,1.8,0.8,2.25,1,1,7,July
Gansu,CVH,BNU 001385,"He Yi, Yu Jiaxuan GSL2014050555",2014,20140515,"Zhuanglang County, Pingliang City, Gansu Province, China ",,,1860,NA,NA,1,NA,NA,NA,NA,4,20,1,1,1,1,1,1,2,15,16,19,50,4.50,4.80,5.70,15.00,15,21,21,2.5,4.5,4.5,6,4.67,4.67,1,1,1,4,1.8,2.5,1.6,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,12,4,3.00,1,1,0.8,1,5,3,2,2.5,2,1.25,1,1,5,May
Gansu,CVH,HNWP 0206884,??? 31958,2004,8/5/2004,"Ola Township, Maqu County, Gansu Province, China",,,3320,NA,NA,1,NA,NA,NA,NA,5,20,1,1,1,1,1,1,2,13,16,19,48,3.90,4.80,5.70,14.40,9,17.5,15,2.5,4.5,3,3.6,3.89,5,1,1,1,4,1,2.5,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,12,3,4.00,1,1,0.8,1,5,3,2,2,1,2.00,1,1,8,August
Gansu,CVH,PE 01560469,?????? 1512,1999,5/31/1999,"Ditoya County, Gansu Province, China",,,2450,grassland,grassland,1,NA,NA,NA,NA,7,25,1,2,2,2,1,1,2,15,17,19,51,3.60,4.08,4.56,12.24,12,19,16,2.5,3.5,2.5,4.8,5.43,6.4,1,1,1,4,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,10,2,5.00,1,1,0.9,1,5,3,2,2,1,2.00,1,1,6,June
Gansu,CVH,PE 01560468,?????? 990,1998,7/28/1998,"Lazigou Iron Ruler Liang, Diministry County, Gansu Province, China",34  13.78' N,103  54.11E ,3150,mountain hillside meadows,mountain hillside meadows,1,NA,NA,NA,NA,7,20,1,1,1,1,1,1,2,13,17,21,51,3.90,5.10,6.30,15.30,14,17.5,13,3.5,3.5,3,4,5,4.33,1,1,1,4,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,3,1,10,2,5.00,1,1,0.8,1,5,3,2,2,1,2.00,1,1,7,July
Gansu,CVH,HNWP 185889,???? 1076,1998,7/4/1998,"Dune dunes on the south bank of the Yellow River in Maqu County, Qinghai Province, China",,,NA,NA,NA,1,2,1,20,yes,6,27.5,1,2,1,1,1,1,2,15,17,23,55,3.27,3.71,5.02,12.00,11.5,17,16,2,2.5,2.5,5.75,6.8,6.4,1,1,1,4,1,1.5,0.8,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,3,1,10,2,5.00,1,0.6,0.8,1,5,3,2,2,1,2.00,1,1,7,July
Gansu,CVH,PE 01059262,???? 96780,1996,8/18/1996,"Lintan County, Gansu, China, Lotus Mountain Sand River Beach",,,2600,hillside,hillside,1,NA,NA,NA,NA,3,23,1,2,1,1,1,1,2,13,21,27,61,3.39,5.48,7.04,15.91,15,17,17,2.5,3.5,3.5,6,4.86,4.86,1,1,1,4,1.5,2,1.4,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,3,1,10,2,5.00,1,1,1,1,5,3,2,2,1,2.00,1,1,8,August
gansu,CVH,WUK 0458049,??? 5078,1985,7/16/1985,"Tianzhu Shimengou, Gansu Province, China",,,2800,valleys,valleys,1,NA,NA,NA,NA,4,18.5,1,1,1,1,1,1,2,14,16,16,46,4.54,5.19,5.19,14.92,12,15,13,2.5,3.5,2.5,4.8,4.29,5.2,1,1,1,4,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,10,2,5.00,1,1,1,1,5,3,1,2,1,2.00,1,1,7,July
