Individual	Population	latitude	longitude	
Chen00181	Chen0018	32.19863611	96.39968333	
Chen00182	Chen0018	32.19863611	96.39968333	
Chen00183	Chen0018	32.19863611	96.39968333	
Chen00191	Chen0019	32.077175	96.40510833	
Chen00192	Chen0019	32.077175	96.40510833	
Chen00193	Chen0019	32.077175	96.40510833	
Chen00211	Chen0021	33.33212222	96.83981667	
Chen00212	Chen0021	33.33212222	96.83981667	
Chen00213	Chen0021	33.33212222	96.83981667	
Chen00214	Chen0021	33.33212222	96.83981667	
Chen00215	Chen0021	33.33212222	96.83981667	
Chen00216	Chen0021	33.33212222	96.83981667	
Chen00221	Chen0022	31.57960833	100.3955778	
Chen00222	Chen0022	31.57960833	100.3955778	
Chen00223	Chen0022	31.57960833	100.3955778	
Chen00224	Chen0022	31.57960833	100.3955778	
Chen00225	Chen0022	31.57960833	100.3955778	
Chen00226	Chen0022	31.57960833	100.3955778	
Chen00227	Chen0022	31.57960833	100.3955778	
Chen00228	Chen0022	31.57960833	100.3955778	
Chen00229	Chen0022	31.57960833	100.3955778	
Chen002210	Chen0022	31.57960833	100.3955778	
Chen002211	Chen0022	31.57960833	100.3955778	
Chen002212	Chen0022	31.57960833	100.3955778	
LZY0040051	LZY004005	31.72085	100.7210222	
LZY0040052	LZY004005	31.72085	100.7210222	
LZY0040053	LZY004005	31.72085	100.7210222	
LZY0040054	LZY004005	31.72085	100.7210222	
LZY0040055	LZY004005	31.72085	100.7210222	
LZY0040056	LZY004005	31.72085	100.7210222	
LZY0040057	LZY004005	31.72085	100.7210222	
LZY0040058	LZY004005	31.72085	100.7210222	
LZY00400510	LZY004005	31.72085	100.7210222	
Yue07193	Yue0719	29.83511	91.72233	
Yue07194	Yue0719	29.83511	91.72233	
Yue07195	Yue0719	29.83511	91.72233	
Yue07196	Yue0719	29.83511	91.72233	
Yue07201	Yue0720	29.72444	89.23438	
Yue07202	Yue0720	29.72444	89.23438	
Yue07203	Yue0720	29.72444	89.23438	
Yue07204	Yue0720	29.72444	89.23438	
Yue07205	Yue0720	29.72444	89.23438	
Yue07206	Yue0720	29.72444	89.23438	
Yue07207	Yue0720	29.72444	89.23438	
Yue07208	Yue0720	29.72444	89.23438	
Yue07209	Yue0720	29.72444	89.23438	
Yue072010	Yue0720	29.72444	89.23438	
Yue072011	Yue0720	29.72444	89.23438	
Yue072012	Yue0720	29.72444	89.23438	
ZBFC2951	ZBFC295	31.9840212	87.8062933	
ZBFC2952	ZBFC295	31.9840212	87.8062933	
ZBFC2953	ZBFC295	31.9840212	87.8062933	
ZBFC2954	ZBFC295	31.9840212	87.8062933	
ZBFC2955	ZBFC295	31.9840212	87.8062933	
ZBFC2956	ZBFC295	31.9840212	87.8062933	
ZBFC4251	ZBFC425	31.405594	90.8568143	
ZBFC4252	ZBFC425	31.405594	90.8568143	
ZBFC4253	ZBFC425	31.405594	90.8568143	
ZBFC4254	ZBFC425	31.405594	90.8568143	
ZBFC4255	ZBFC425	31.405594	90.8568143	
ZBFC4256	ZBFC425	31.405594	90.8568143	
ZBFC4257	ZBFC425	31.405594	90.8568143	
ZBFC4258	ZBFC425	31.405594	90.8568143	
ZBFC4259	ZBFC425	31.405594	90.8568143	
ZBFC42510	ZBFC425	31.405594	90.8568143	
ZBFC42511	ZBFC425	31.405594	90.8568143	
ZBFC42512	ZBFC425	31.405594	90.8568143	
Deng97331	Deng9733	31.260642	97.16273497	
Deng97332	Deng9733	31.260642	97.16273497	
Deng97333	Deng9733	31.260642	97.16273497	
Deng97334	Deng9733	31.260642	97.16273497	
Deng97335	Deng9733	31.260642	97.16273497	
Deng97336	Deng9733	31.260642	97.16273497	
Deng97337	Deng9733	31.260642	97.16273497	
Deng97338	Deng9733	31.260642	97.16273497	
Deng97451	Deng9745	31.46795397	97.19849297	
Deng97452	Deng9745	31.46795397	97.19849297	
Deng97453	Deng9745	31.46795397	97.19849297	
Deng97454	Deng9745	31.46795397	97.19849297	
Deng97455	Deng9745	31.46795397	97.19849297	
Deng97456	Deng9745	31.46795397	97.19849297	
Deng97457	Deng9745	31.46795397	97.19849297	
