Individual	Population	Mor	Province
Chen00181	Chen0018	RW	Qinghai
Chen00182	Chen0018	RW	Qinghai
Chen00183	Chen0018	RW	Qinghai
Chen00191	Chen0019	RW	Qinghai
Chen00192	Chen0019	RW	Qinghai
Chen00193	Chen0019	RW	Qinghai
Chen00211	Chen0021	RW	Qinghai
Chen00212	Chen0021	RW	Qinghai
Chen00213	Chen0021	RW	Qinghai
Chen00214	Chen0021	RW	Qinghai
Chen00215	Chen0021	RW	Qinghai
Chen00216	Chen0021	RW	Qinghai
Chen00221	Chen0022	RW	Sichuan
Chen00222	Chen0022	RW	Sichuan
Chen00223	Chen0022	RW	Sichuan
Chen00224	Chen0022	RW	Sichuan
Chen00225	Chen0022	RW	Sichuan
Chen00226	Chen0022	RW	Sichuan
Chen00227	Chen0022	RW	Sichuan
Chen00228	Chen0022	RW	Sichuan
Chen00229	Chen0022	RW	Sichuan
Chen002210	Chen0022	RW	Sichuan
Chen002211	Chen0022	RW	Sichuan
Chen002212	Chen0022	RW	Sichuan
LZY0040051	LZY004005	RW	Sichuan
LZY0040052	LZY004005	RW	Sichuan
LZY0040053	LZY004005	RW	Sichuan
LZY0040054	LZY004005	RW	Sichuan
LZY0040055	LZY004005	RW	Sichuan
LZY0040056	LZY004005	RW	Sichuan
LZY0040057	LZY004005	RW	Sichuan
LZY0040058	LZY004005	RW	Sichuan
LZY00400510	LZY004005	RW	Sichuan
Yue07193	Yue0719	RW	Xizang
Yue07194	Yue0719	RW	Xizang
Yue07195	Yue0719	RW	Xizang
Yue07196	Yue0719	RW	Xizang
Yue07201	Yue0720	RW	Xizang
Yue07202	Yue0720	RW	Xizang
Yue07203	Yue0720	RW	Xizang
Yue07204	Yue0720	RW	Xizang
Yue07205	Yue0720	RW	Xizang
Yue07206	Yue0720	RW	Xizang
Yue07207	Yue0720	RW	Xizang
Yue07208	Yue0720	RW	Xizang
Yue07209	Yue0720	RW	Xizang
Yue072010	Yue0720	RW	Xizang
Yue072011	Yue0720	RW	Xizang
Yue072012	Yue0720	RW	Xizang
ZBFC2951	ZBFC295	RW	Xizang
ZBFC2952	ZBFC295	RW	Xizang
ZBFC2953	ZBFC295	RW	Xizang
ZBFC2954	ZBFC295	RW	Xizang
ZBFC2955	ZBFC295	RW	Xizang
ZBFC2956	ZBFC295	RW	Xizang
ZBFC4251	ZBFC425	RW	Xizang
ZBFC4252	ZBFC425	RW	Xizang
ZBFC4253	ZBFC425	RW	Xizang
ZBFC4254	ZBFC425	RW	Xizang
ZBFC4255	ZBFC425	RW	Xizang
ZBFC4256	ZBFC425	RW	Xizang
ZBFC4257	ZBFC425	RW	Xizang
ZBFC4258	ZBFC425	RW	Xizang
ZBFC4259	ZBFC425	RW	Xizang
ZBFC42510	ZBFC425	RW	Xizang
ZBFC42511	ZBFC425	RW	Xizang
ZBFC42512	ZBFC425	RW	Xizang
Deng97331	Deng9733	RW	Xizang
Deng97332	Deng9733	RW	Xizang
Deng97333	Deng9733	RW	Xizang
Deng97334	Deng9733	RW	Xizang
Deng97335	Deng9733	RW	Xizang
Deng97336	Deng9733	RW	Xizang
Deng97337	Deng9733	RW	Xizang
Deng97338	Deng9733	RW	Xizang
Deng97451	Deng9745	RW	Xizang
Deng97452	Deng9745	RW	Xizang
Deng97453	Deng9745	RW	Xizang
Deng97454	Deng9745	RW	Xizang
Deng97455	Deng9745	RW	Xizang
Deng97456	Deng9745	RW	Xizang
Deng97457	Deng9745	RW	Xizang
Deng97458	Deng9745	RW	Xizang
Deng97459	Deng9745	RW	Xizang
Deng974510	Deng9745	RW	Xizang
Deng97721	Deng9772	RW	Xizang
