,,,,,,TP,TP,AI,RH,PP,PET,PV,SC,SM,SP,SR,WV,WS,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,HH,GD,GD,GD,GD,GD,LULC ,LULC ,LULC ,LULC ,LULC ,LULC ,LULC ,LULC ,LULC ,LULC ,LULC ,LULC ,UVB,UVB,UVB,UVB,UVB,UVB,CLIM,CLIM,CLIM,CLIM,CLIM,CLIM,CLIM,CLIM,CLIM,CLIM,CLIM,CLIM,CLIM,CLIM,CLIM,CLIM,CLIM,CLIM,CLIM
SN,barcode,Province,long,lat,colour,Elevation (m),Aspect (degree),Annual aridity (ratio),Annual Relative Humidity (%),Net primary productivity (kg-carbon/m²/year),Potential evapotranspiration (mm),Potential vegetation (15 biomes categories),Soil carbon (Kg-Carbon/m² to 1 m depth),Soil moisture (mm based on 150 mm water holding capacity),Soil pH (acidity-alkaline level),Annual solar radiation (kJ/m²/day),Annual water vapour (kPa),Annual wind speed (m/s),"Contrast (exponentially weighted difference in EVI between adjacent pixels, x ?0)","Correlation (linear dependency of EVI on adjacent pixels, 1? x ?-1)","Coefficient of variation (normalized dispersion of EVI, x ?0)",Dissimilarity, Entrophy,"Evenness (evenness of EVI, 1? x ?0)","Homogeneity (similarity of EVI between adjacent pixels, 1? x ?0)","Maximum (dominance of EVI combinations between adjacent pixels, 1? x ?0)","Range (Range of EVI, x ?0)",Shannon index,Simpson index,Standard deviation,"Uniformity (orderliness of EVI, 1? x ?0)­­­","Variance (Dispersion of EVI combinations between adjacent pixels, x ?0)",First day of growing season (Julian day),Growing degree days (°C based on 5-degree base temperature),Growing season length (number of days),Growing season temperature (°C/10),Last day of growing season (Julian day),Evergreen/deciduous Needleleaf trees (Lulc1),Evergreen broadleaf trees (LULC2),Deciduous Broadleaf Trees (LULC3),Mixed/other trees (LULC4),Shrubs (LULC5),Herbaceous vegetation (LULC6),Cultivated and managed vegetation (LULC7),Regularly Flooded Vegetation (LULC8),Urban/Built-up (LULC9),Snow/Ice (LULC10),Barren (LULC11),Barren (LULC12),Annual mean UV-B (J/m²/day),UV-B seasonality (J/m²/day),Mean UV-B of highest month (J/m²/day),Mean UV-B of lowest month (J/m²/day),Sum of monthly mean UV-B during highest quarter,Sum of monthly mean UV-B during lowest quarter,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
2,LZY006-008,Sichuan,101.13880200000,30.07439700000,RR,3556.64,316.55,7834.20,29.00,0.48,30.69,5.00,6.09,147.00,6.06,13379.90,0.58,2.57,102058.00,6303.00,972.00,24333.00,48623.00,8799.00,3377.00,320.00,2212.00,26967.00,9185.00,382.00,109.00,146516.00,67.60,814.00,194.87,9.50,124.08,38.77,21.99,0.53,12.41,1.56,24.89,0.00,0.00,0.00,0.00,0.00,0.00,5674.93,241848.00,8659.56,2300.54,24651.40,9945.30,57.00,85.00,342.00,5520.00,163.00,-85.00,248.00,128.00,-21.00,128.00,-21.00,516.00,107.00,1.00,92.00,315.00,5.00,5.00,5.00
3,Deng-9525,Sichuan,101.23448100000,30.04246000000,RR,3868.44,325.00,9800.90,30.00,0.48,30.69,10.00,6.09,147.00,6.06,13309.30,0.53,2.87,107119.00,6563.00,1003.00,24781.00,49142.00,8604.00,3409.00,349.00,2463.00,27388.00,9193.00,402.00,106.00,160853.00,97.36,814.00,208.30,7.72,292.05,26.52,0.13,0.55,40.17,0.00,21.41,10.86,0.00,0.00,0.00,0.00,0.00,5688.12,242436.00,8681.31,2304.61,24691.80,9931.46,34.00,84.00,339.00,5551.00,141.00,-106.00,247.00,106.00,-43.00,106.00,-43.00,559.00,116.00,2.00,90.00,334.00,7.00,7.00,7.00
4,Deng-9533,Sichuan,101.00555100000,30.08818700000,RR,3201.11,334.31,6303.62,26.00,0.48,30.69,1.00,6.09,147.00,6.06,13395.90,0.63,2.06,168665.00,6049.00,1026.00,30183.00,51702.00,9013.00,2958.00,205.00,2418.00,28757.00,9342.00,454.00,74.00,208620.00,45.53,814.00,221.05,10.63,89.00,7.73,48.90,0.87,31.16,0.00,6.04,5.30,0.00,0.00,0.00,0.00,0.00,5674.93,241848.00,8659.56,2300.54,24651.40,9945.30,76.00,85.00,342.00,5527.00,182.00,-68.00,250.00,146.00,-3.00,146.00,-3.00,481.00,100.00,1.00,92.00,293.00,4.00,4.00,4.00
5,Deng-9534,Sichuan,101.13460800000,30.07910500000,RR,3479.88,331.14,7440.61,29.00,0.48,30.69,4.00,6.09,147.00,6.06,13385.10,0.59,2.49,98652.00,6244.00,941.00,23873.00,48319.00,8800.00,3426.00,332.00,2130.00,26741.00,9173.00,370.00,112.00,135154.00,59.51,814.00,198.82,9.73,100.35,45.97,24.88,0.69,7.78,1.24,19.52,0.00,0.00,0.00,0.00,0.00,0.00,5674.93,241848.00,8659.56,2300.54,24651.40,9945.30,61.00,85.00,342.00,5511.00,167.00,-81.00,248.00,132.00,-17.00,132.00,-17.00,466.00,97.00,1.00,92.00,285.00,5.00,5.00,5.00
6,Deng-9813,Sichuan,100.29475792000,30.36220142000,RR,4070.31,288.68,7834.96,15.00,0.42,35.12,13.00,6.36,138.00,5.95,13642.90,0.50,2.78,157105.00,6971.00,1185.00,29871.00,52953.00,9237.00,3023.00,206.00,2664.00,29849.00,9436.00,512.00,65.00,263849.00,-646.86,421.00,193.16,-738.89,-462.51,30.78,27.06,0.00,14.32,1.14,23.63,3.09,0.00,0.00,0.00,0.00,0.00,5805.03,252468.00,8993.24,2309.35,25354.90,10043.30,30.00,88.00,326.00,6146.00,147.00,-123.00,270.00,109.00,-57.00,109.00,-57.00,504.00,110.00,1.00,100.00,326.00,4.00,4.00,4.00
7,Deng-9532,Sichuan,101.02541700000,30.11102897220,RR,3183.67,267.32,6607.26,25.00,0.48,30.69,2.00,6.09,147.00,6.06,13413.00,0.62,2.13,194173.00,5418.00,1041.00,30444.00,50690.00,8712.00,3120.00,246.00,2604.00,27968.00,9256.00,434.00,89.00,202139.00,55.22,814.00,224.92,10.38,185.89,23.07,40.22,0.39,9.75,0.00,14.43,12.14,0.00,0.00,0.00,0.00,0.00,5674.93,241848.00,8659.56,2300.54,24651.40,9945.30,72.00,85.00,342.00,5535.00,178.00,-72.00,250.00,142.00,-7.00,142.00,-7.00,526.00,108.00,2.00,92.00,320.00,5.00,5.00,5.00
8,Deng-9810,Sichuan,100.30218564000,30.45961128000,RR,3879.69,320.28,6857.39,18.00,0.42,35.12,13.00,6.36,138.00,5.95,13665.10,0.53,2.58,146823.00,7542.00,1350.00,28959.00,53172.00,9131.00,3056.00,173.00,2919.00,30734.00,9473.00,561.00,63.00,299978.00,84.64,421.00,150.21,9.75,131.94,7.76,21.11,17.22,31.13,0.16,15.78,6.86,0.00,0.00,0.00,0.00,0.00,5805.03,252468.00,8993.24,2309.35,25354.90,10043.30,43.00,89.00,327.00,6150.00,161.00,-111.00,271.00,122.00,-44.00,122.00,-44.00,445.00,98.00,1.00,101.00,287.00,4.00,4.00,4.00
9,Zhang21,Sichuan,101.13750000000,30.07666666670,RR,3520.24,323.87,7638.89,29.00,0.48,30.69,4.00,6.09,147.00,6.06,13382.10,0.58,2.53,100536.00,6272.00,957.00,24125.00,48481.00,8800.00,3400.00,326.00,2173.00,26859.00,9179.00,376.00,110.00,141106.00,63.78,814.00,196.44,9.63,112.33,41.62,23.44,0.59,10.54,1.51,22.42,0.00,0.00,0.00,0.00,0.00,0.00,5674.93,241848.00,8659.56,2300.54,24651.40,9945.30,59.00,85.00,342.00,5515.00,165.00,-83.00,248.00,130.00,-19.00,130.00,-19.00,492.00,102.00,1.00,92.00,300.00,5.00,5.00,5.00
1,TI1466011,Sichuan,99.24583333330,28.86750000000,RR,3471.00,114.11,6156.71,45.00,0.53,39.86,11.00,4.09,122.85,7.34,14264.50,0.60,2.28,128777.00,7874.00,1703.00,26096.00,52109.00,9251.00,3368.00,241.00,2766.00,30437.00,9431.00,570.00,78.00,339568.00,53.59,1436.00,167.45,11.45,92.01,0.98,1.06,0.36,0.63,0.74,51.31,44.90,0.00,0.00,0.00,0.00,0.00,5921.47,241187.00,8967.30,2512.65,25252.20,10576.20,76.00,72.00,299.00,5888.00,182.00,-59.00,240.00,149.00,-7.00,150.00,-7.00,261.00,74.00,1.00,116.00,221.00,3.00,3.00,3.00
