# Variant positions
# Pop ID	Private	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
Chen0018	38	3.00000	0.00000	0.00000	0.90042	0.02874	0.00491	0.19748	0.11451	0.00981	0.80252	0.11451	0.00981	0.12190	0.03590	0.00549	0.87810	0.03590	0.00549	0.14627	0.05170	0.00659	-0.08662	0.04862	0.00000
Chen0019	42	3.00000	0.00000	0.00000	0.95902	0.01606	0.00240	0.08076	0.06363	0.00478	0.91924	0.06363	0.00478	0.04649	0.01879	0.00260	0.95351	0.01879	0.00260	0.05579	0.02705	0.00312	-0.04194	0.02726	0.00000
Chen0021	266	5.45296	0.24787	0.00913	0.94567	0.01653	0.00236	0.09797	0.06096	0.00453	0.90203	0.06096	0.00453	0.06971	0.02170	0.00270	0.93029	0.02170	0.00270	0.07701	0.02650	0.00298	-0.03670	0.05228	0.00913
Chen0022	290	10.93645	0.61230	0.01644	0.94090	0.01679	0.00272	0.10181	0.06414	0.00532	0.89819	0.06414	0.00532	0.07764	0.02082	0.00303	0.92236	0.02082	0.00303	0.08140	0.02287	0.00318	-0.00521	0.11459	0.01644
LZY004005	56	8.51016	0.25007	0.01324	0.94301	0.01972	0.00372	0.11293	0.07820	0.00740	0.88707	0.07820	0.00740	0.06807	0.02326	0.00404	0.93193	0.02326	0.00404	0.07239	0.02630	0.00429	-0.07856	0.05681	0.01324
Yue0719	55	4.00000	0.00000	0.00000	0.94787	0.01824	0.00303	0.10324	0.07241	0.00604	0.89676	0.07241	0.00604	0.06236	0.02250	0.00336	0.93764	0.02250	0.00336	0.07127	0.02939	0.00384	-0.05728	0.03691	0.00000
Yue0720	78	10.93991	0.57775	0.01575	0.94677	0.01819	0.00279	0.10266	0.07280	0.00559	0.89734	0.07280	0.00559	0.06442	0.02157	0.00304	0.93558	0.02157	0.00304	0.06752	0.02370	0.00319	-0.05760	0.07694	0.01575
ZBFC295	96	5.65002	0.22757	0.00851	0.95110	0.01751	0.00236	0.09690	0.06954	0.00470	0.90310	0.06954	0.00470	0.05801	0.02100	0.00258	0.94199	0.02100	0.00258	0.06385	0.02544	0.00285	-0.06169	0.04303	0.00851
ZBFC425	86	10.80128	0.57407	0.01751	0.94451	0.01880	0.00317	0.11014	0.07500	0.00633	0.88986	0.07500	0.00633	0.06724	0.02238	0.00346	0.93276	0.02238	0.00346	0.07056	0.02464	0.00363	-0.07695	0.05899	0.01751
Deng9733	53	7.37618	0.23481	0.01179	0.94866	0.01708	0.00318	0.10167	0.06783	0.00634	0.89833	0.06783	0.00634	0.06329	0.02095	0.00352	0.93671	0.02095	0.00352	0.06792	0.02412	0.00378	-0.06470	0.04762	0.01179
Deng9745	112	8.92933	0.56190	0.01542	0.93899	0.01936	0.00286	0.10116	0.06582	0.00528	0.89884	0.06582	0.00528	0.07587	0.02423	0.00320	0.92413	0.02423	0.00320	0.08049	0.02727	0.00340	-0.03613	0.07915	0.01542
Deng9772	34	7.48810	0.25001	0.01220	0.95755	0.01551	0.00304	0.08456	0.06200	0.00607	0.91544	0.06200	0.00607	0.05029	0.01879	0.00334	0.94971	0.01879	0.00334	0.05396	0.02162	0.00359	-0.05839	0.04171	0.01220
Deng9783	137	8.66473	0.65977	0.01716	0.94369	0.01907	0.00292	0.11096	0.07565	0.00581	0.88904	0.07565	0.00581	0.06815	0.02285	0.00319	0.93185	0.02285	0.00319	0.07229	0.02569	0.00339	-0.07430	0.05766	0.01716
Deng9810	61	4.36452	0.23181	0.01267	0.91582	0.02622	0.00426	0.16240	0.10176	0.00840	0.83760	0.10176	0.00840	0.10179	0.03199	0.00471	0.89821	0.03199	0.00471	0.11497	0.04080	0.00532	-0.08543	0.06372	0.01267
Deng9813	31	7.41190	0.24252	0.01666	0.92208	0.02393	0.00523	0.15085	0.09355	0.01035	0.84915	0.09355	0.01035	0.09589	0.02864	0.00572	0.90411	0.02864	0.00572	0.10286	0.03294	0.00614	-0.09038	0.07293	0.01666
Deng9525	49	6.47515	0.24963	0.01575	0.91869	0.02646	0.00513	0.16030	0.10493	0.01021	0.83970	0.10493	0.01021	0.09653	0.03104	0.00556	0.90347	0.03104	0.00556	0.10470	0.03651	0.00602	-0.10399	0.07429	0.01575
Deng9528	39	3.00000	0.00000	0.00000	0.89972	0.03142	0.00613	0.19577	0.12330	0.01214	0.80423	0.12330	0.01214	0.11769	0.03776	0.00672	0.88231	0.03776	0.00672	0.14123	0.05437	0.00806	-0.09204	0.05588	0.00000
Deng9533	15	7.32753	0.22064	0.01961	0.93842	0.01388	0.00492	0.12273	0.05551	0.00983	0.87727	0.05551	0.00983	0.08787	0.02018	0.00593	0.91213	0.02018	0.00593	0.09438	0.02332	0.00637	-0.05865	0.03465	0.01961
Chen0016	96	7.56710	0.24564	0.01208	0.94198	0.01936	0.00339	0.11400	0.07577	0.00671	0.88600	0.07577	0.00671	0.07061	0.02329	0.00372	0.92939	0.02329	0.00372	0.07574	0.02680	0.00399	-0.07322	0.05341	0.01208
ZYZhou	52	11.01475	0.67082	0.02345	0.93688	0.02143	0.00419	0.12272	0.08545	0.00837	0.87728	0.08545	0.00837	0.07545	0.02523	0.00455	0.92455	0.02523	0.00455	0.07912	0.02774	0.00477	-0.07710	0.08178	0.02345
Deng9524	54	6.43161	0.24560	0.01659	0.91975	0.02233	0.00500	0.15719	0.08783	0.00992	0.84281	0.08783	0.00992	0.10301	0.02768	0.00557	0.89699	0.02768	0.00557	0.11181	0.03261	0.00605	-0.08693	0.06189	0.01659
Deng9535	90	5.54714	0.24800	0.01478	0.91117	0.02894	0.00505	0.17695	0.11518	0.01007	0.82305	0.11518	0.01007	0.10403	0.03383	0.00546	0.89597	0.03383	0.00546	0.11450	0.04097	0.00601	-0.11735	0.07163	0.01478
Deng9634	66	7.54581	0.24804	0.01181	0.95803	0.01470	0.00287	0.08347	0.05873	0.00575	0.91653	0.05873	0.00575	0.05104	0.01799	0.00318	0.94896	0.01799	0.00318	0.05476	0.02070	0.00341	-0.05473	0.04048	0.01181
Deng9703	89	4.48734	0.24996	0.01093	0.93414	0.02132	0.00319	0.13010	0.08397	0.00633	0.86990	0.08397	0.00633	0.08042	0.02630	0.00355	0.91958	0.02630	0.00355	0.09084	0.03356	0.00400	-0.07123	0.04570	0.01093
Deng9847	79	7.48829	0.25000	0.01180	0.96620	0.01156	0.00254	0.06744	0.04597	0.00506	0.93256	0.04597	0.00506	0.04221	0.01442	0.00283	0.95779	0.01442	0.00283	0.04526	0.01657	0.00304	-0.04317	0.02974	0.01180
Niuma003	27	3.00000	0.00000	0.00000	0.90928	0.03093	0.00621	0.17645	0.11938	0.01221	0.82355	0.11938	0.01221	0.10320	0.03494	0.00660	0.89680	0.03494	0.00660	0.12385	0.05031	0.00793	-0.08815	0.05389	0.00000
Chen0009	138	8.17570	0.14494	0.01059	0.92263	0.02517	0.00441	0.09721	0.06719	0.00721	0.90279	0.06719	0.00721	0.09248	0.03053	0.00486	0.90752	0.03053	0.00486	0.09847	0.03461	0.00518	0.00552	0.12356	0.01059
Chen0015	96	8.89532	0.64618	0.02264	0.91075	0.02725	0.00465	0.15414	0.09677	0.00876	0.84586	0.09677	0.00876	0.10810	0.03226	0.00506	0.89190	0.03226	0.00506	0.11464	0.03627	0.00536	-0.07310	0.10693	0.02264
Deng8939	87	8.50977	0.51301	0.02003	0.91938	0.02390	0.00432	0.10862	0.06740	0.00726	0.89138	0.06740	0.00726	0.10047	0.03041	0.00488	0.89953	0.03041	0.00488	0.10671	0.03430	0.00518	-0.00049	0.11873	0.02003
Deng8999	107	8.84265	0.63480	0.01964	0.93375	0.02164	0.00363	0.10622	0.07090	0.00656	0.89378	0.07090	0.00656	0.08047	0.02607	0.00398	0.91953	0.02607	0.00398	0.08535	0.02932	0.00422	-0.03953	0.08686	0.01964
Deng9040	147	8.99510	0.66762	0.01809	0.93971	0.01942	0.00308	0.09816	0.06826	0.00578	0.90184	0.06826	0.00578	0.07449	0.02445	0.00346	0.92551	0.02445	0.00346	0.07896	0.02745	0.00367	-0.03246	0.08864	0.01809
Deng9127	23	6.40284	0.24085	0.01689	0.90757	0.03079	0.00604	0.18486	0.12316	0.01208	0.81514	0.12316	0.01208	0.10627	0.03466	0.00641	0.89373	0.03466	0.00641	0.11525	0.04074	0.00695	-0.13130	0.08322	0.01689
Deng9569	57	6.48225	0.24985	0.01294	0.93657	0.02121	0.00377	0.11634	0.08231	0.00743	0.88366	0.08231	0.00743	0.07642	0.02548	0.00413	0.92358	0.02548	0.00413	0.08282	0.02992	0.00448	-0.05519	0.08175	0.01294
Deng9601	94	4.39899	0.23997	0.01316	0.91008	0.02686	0.00440	0.16454	0.09864	0.00844	0.83546	0.09864	0.00844	0.10999	0.03250	0.00484	0.89001	0.03250	0.00484	0.12426	0.04142	0.00547	-0.07156	0.07359	0.01316
# All positions (variant and fixed)
# Pop ID	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
Chen0018	38	764958	1190	373	0.04876	2.99971	0.00044	0.00002	0.99985	0.00006	0.00001	0.00031	0.00024	0.00002	0.99969	0.00024	0.00002	0.00019	0.00008	0.00001	0.99981	0.00008	0.00001	0.00023	0.00011	0.00001	-0.00013	0.00009	0.00002
Chen0019	42	2520176	2782	301	0.01194	2.99990	0.00016	0.00001	0.99995	0.00002	0.00000	0.00009	0.00008	0.00001	0.99991	0.00008	0.00001	0.00005	0.00002	0.00000	0.99995	0.00002	0.00000	0.00006	0.00003	0.00000	-0.00005	0.00003	0.00001
Chen0021	266	2630132	2976	663	0.02521	5.50702	0.25101	0.00031	0.99994	0.00002	0.00000	0.00011	0.00008	0.00001	0.99989	0.00008	0.00001	0.00008	0.00003	0.00000	0.99992	0.00003	0.00000	0.00009	0.00004	0.00000	-0.00004	0.00006	0.00031
Chen0022	290	2008284	2266	763	0.03799	10.93361	0.58582	0.00054	0.99993	0.00002	0.00000	0.00011	0.00008	0.00001	0.99989	0.00008	0.00001	0.00009	0.00003	0.00000	0.99991	0.00003	0.00000	0.00009	0.00003	0.00000	-0.00001	0.00013	0.00054
LZY004005	56	1239001	1427	304	0.02454	8.54560	0.25057	0.00045	0.99993	0.00003	0.00000	0.00013	0.00010	0.00001	0.99987	0.00010	0.00001	0.00008	0.00003	0.00001	0.99992	0.00003	0.00001	0.00008	0.00004	0.00001	-0.00009	0.00007	0.00045
Yue0719	55	1736232	1988	323	0.01860	3.99980	0.00043	0.00002	0.99994	0.00002	0.00000	0.00012	0.00010	0.00001	0.99988	0.00010	0.00001	0.00007	0.00003	0.00000	0.99993	0.00003	0.00000	0.00008	0.00004	0.00000	-0.00007	0.00005	0.00002
Yue0720	78	2081791	2330	512	0.02459	10.91620	0.53925	0.00051	0.99994	0.00002	0.00000	0.00011	0.00009	0.00001	0.99989	0.00009	0.00001	0.00007	0.00003	0.00000	0.99993	0.00003	0.00000	0.00008	0.00003	0.00000	-0.00006	0.00009	0.00051
ZBFC295	96	2711971	3143	506	0.01866	5.69040	0.21465	0.00028	0.99994	0.00002	0.00000	0.00011	0.00009	0.00001	0.99989	0.00009	0.00001	0.00007	0.00003	0.00000	0.99993	0.00003	0.00000	0.00007	0.00003	0.00000	-0.00007	0.00005	0.00028
ZBFC425	86	1773115	1872	445	0.02510	10.82667	0.57935	0.00057	0.99994	0.00002	0.00000	0.00012	0.00009	0.00001	0.99988	0.00009	0.00001	0.00007	0.00003	0.00000	0.99993	0.00003	0.00000	0.00007	0.00003	0.00000	-0.00008	0.00007	0.00057
Deng9733	53	1548541	1688	347	0.02241	7.37431	0.23582	0.00039	0.99994	0.00002	0.00000	0.00011	0.00009	0.00001	0.99989	0.00009	0.00001	0.00007	0.00003	0.00000	0.99993	0.00003	0.00000	0.00007	0.00003	0.00000	-0.00007	0.00006	0.00039
Deng9745	112	2208204	2363	600	0.02717	8.98127	0.55696	0.00050	0.99993	0.00002	0.00000	0.00011	0.00008	0.00001	0.99989	0.00008	0.00001	0.00008	0.00003	0.00000	0.99992	0.00003	0.00000	0.00009	0.00004	0.00000	-0.00004	0.00009	0.00050
Deng9772	34	1561587	1680	244	0.01563	7.49908	0.25122	0.00040	0.99995	0.00002	0.00000	0.00009	0.00007	0.00001	0.99991	0.00007	0.00001	0.00005	0.00002	0.00000	0.99995	0.00002	0.00000	0.00006	0.00003	0.00000	-0.00006	0.00005	0.00040
Deng9783	137	1873278	2240	505	0.02696	8.62762	0.65296	0.00059	0.99993	0.00003	0.00000	0.00013	0.00011	0.00001	0.99987	0.00011	0.00001	0.00008	0.00003	0.00000	0.99992	0.00003	0.00000	0.00009	0.00004	0.00000	-0.00009	0.00008	0.00059
Deng9810	61	919460	1443	396	0.04307	4.31338	0.21653	0.00049	0.99987	0.00005	0.00001	0.00025	0.00020	0.00001	0.99975	0.00020	0.00001	0.00016	0.00007	0.00001	0.99984	0.00007	0.00001	0.00018	0.00008	0.00001	-0.00013	0.00011	0.00049
Deng9813	31	651600	874	278	0.04266	7.43394	0.24907	0.00062	0.99990	0.00004	0.00001	0.00020	0.00016	0.00002	0.99980	0.00016	0.00002	0.00013	0.00005	0.00001	0.99987	0.00005	0.00001	0.00014	0.00006	0.00001	-0.00012	0.00011	0.00062
Deng9525	49	631914	1006	279	0.04415	6.53861	0.25186	0.00063	0.99987	0.00005	0.00001	0.00026	0.00021	0.00002	0.99974	0.00021	0.00002	0.00015	0.00006	0.00001	0.99985	0.00006	0.00001	0.00017	0.00008	0.00001	-0.00017	0.00014	0.00063
Deng9528	39	357675	836	237	0.06626	2.99934	0.00103	0.00005	0.99977	0.00010	0.00002	0.00046	0.00038	0.00003	0.99954	0.00038	0.00003	0.00028	0.00012	0.00002	0.99972	0.00012	0.00002	0.00033	0.00017	0.00002	-0.00022	0.00015	0.00005
Deng9533	15	560393	574	209	0.03730	7.48332	0.25154	0.00067	0.99994	0.00002	0.00001	0.00013	0.00007	0.00001	0.99987	0.00007	0.00001	0.00009	0.00003	0.00001	0.99991	0.00003	0.00001	0.00010	0.00003	0.00001	-0.00006	0.00004	0.00067
Chen0016	96	1693196	1684	380	0.02244	7.61675	0.23819	0.00038	0.99994	0.00002	0.00000	0.00011	0.00009	0.00001	0.99989	0.00009	0.00001	0.00007	0.00003	0.00000	0.99993	0.00003	0.00000	0.00008	0.00003	0.00000	-0.00007	0.00006	0.00038
ZYZhou	52	1124888	1220	305	0.02711	11.13933	0.66765	0.00077	0.99993	0.00003	0.00000	0.00013	0.00011	0.00001	0.99987	0.00011	0.00001	0.00008	0.00003	0.00001	0.99992	0.00003	0.00001	0.00009	0.00004	0.00001	-0.00008	0.00010	0.00077
Deng9524	54	642181	892	309	0.04812	6.49703	0.25248	0.00063	0.99989	0.00004	0.00001	0.00022	0.00016	0.00002	0.99978	0.00016	0.00002	0.00014	0.00005	0.00001	0.99986	0.00005	0.00001	0.00016	0.00006	0.00001	-0.00012	0.00010	0.00063
Deng9535	90	490976	1135	311	0.06334	5.60504	0.24241	0.00070	0.99979	0.00009	0.00001	0.00041	0.00034	0.00003	0.99959	0.00034	0.00003	0.00024	0.00010	0.00001	0.99976	0.00010	0.00001	0.00026	0.00012	0.00002	-0.00027	0.00020	0.00070
Deng9634	66	1824804	1779	289	0.01584	7.58294	0.24460	0.00037	0.99996	0.00002	0.00000	0.00008	0.00006	0.00001	0.99992	0.00006	0.00001	0.00005	0.00002	0.00000	0.99995	0.00002	0.00000	0.00005	0.00002	0.00000	-0.00005	0.00004	0.00037
Deng9703	89	1858184	2093	473	0.02545	4.53677	0.24952	0.00037	0.99993	0.00003	0.00000	0.00015	0.00011	0.00001	0.99985	0.00011	0.00001	0.00009	0.00004	0.00000	0.99991	0.00004	0.00000	0.00010	0.00005	0.00001	-0.00008	0.00006	0.00037
Deng9847	79	1816357	1794	264	0.01453	7.49958	0.25152	0.00037	0.99997	0.00001	0.00000	0.00007	0.00005	0.00001	0.99993	0.00005	0.00001	0.00004	0.00002	0.00000	0.99996	0.00002	0.00000	0.00004	0.00002	0.00000	-0.00004	0.00003	0.00037
Niuma003	27	497623	801	199	0.03999	2.99958	0.00065	0.00004	0.99985	0.00006	0.00001	0.00028	0.00024	0.00002	0.99972	0.00024	0.00002	0.00017	0.00007	0.00001	0.99983	0.00007	0.00001	0.00020	0.00011	0.00001	-0.00014	0.00010	0.00004
Chen0009	138	1114783	1292	361	0.03238	8.16972	0.14282	0.00036	0.99991	0.00004	0.00001	0.00011	0.00009	0.00001	0.99989	0.00009	0.00001	0.00011	0.00005	0.00001	0.99989	0.00005	0.00001	0.00011	0.00005	0.00001	0.00001	0.00014	0.00036
Chen0015	96	890860	1261	447	0.05018	9.04072	0.70978	0.00089	0.99987	0.00005	0.00001	0.00022	0.00017	0.00001	0.99978	0.00017	0.00001	0.00015	0.00006	0.00001	0.99985	0.00006	0.00001	0.00016	0.00007	0.00001	-0.00010	0.00016	0.00089
Deng8939	87	1175784	1279	424	0.03606	8.54389	0.54480	0.00068	0.99991	0.00003	0.00001	0.00012	0.00009	0.00001	0.99988	0.00009	0.00001	0.00011	0.00004	0.00001	0.99989	0.00004	0.00001	0.00012	0.00005	0.00001	-0.00000	0.00013	0.00068
Deng8999	107	1401234	1646	448	0.03197	8.93207	0.67095	0.00069	0.99992	0.00003	0.00000	0.00012	0.00010	0.00001	0.99988	0.00010	0.00001	0.00009	0.00004	0.00001	0.99991	0.00004	0.00001	0.00010	0.00004	0.00001	-0.00005	0.00010	0.00069
Deng9040	147	1703647	2041	493	0.02894	9.08760	0.69365	0.00064	0.99993	0.00003	0.00000	0.00012	0.00009	0.00001	0.99988	0.00009	0.00001	0.00009	0.00004	0.00000	0.99991	0.00004	0.00000	0.00009	0.00004	0.00000	-0.00004	0.00011	0.00064
Deng9127	23	580339	844	247	0.04256	6.47162	0.25198	0.00066	0.99987	0.00006	0.00001	0.00027	0.00023	0.00002	0.99973	0.00023	0.00002	0.00015	0.00007	0.00001	0.99985	0.00007	0.00001	0.00017	0.00008	0.00001	-0.00019	0.00015	0.00066
